"t","year","l","al","ga","sigma","rr","etree","cost1","pbacktime","partfract","forcoth","cpricebase"
"323",2332.0000000000,10499.5737459785,36.7432903402,0.0022887594,0.0347657532,0.0082781710,0.0000018946,0.0008364679,67.3683163243,1.0000000000,0.7000000000,587.8348195906
"324",2333.0000000000,10499.5858360273,36.8275798111,0.0022750680,0.0345142568,0.0081558335,0.0000018119,0.0008262227,67.0280548993,1.0000000000,0.7000000000,599.5915159824
"325",2334.0000000000,10499.5975831667,36.9115561110,0.0022614585,0.0342648284,0.0080353040,0.0000017328,0.0008161088,66.6895120542,1.0000000000,0.7000000000,611.5833463021
"326",2335.0000000000,10499.6089971224,36.9952192625,0.0022479303,0.0340174494,0.0079165556,0.0000016572,0.0008061246,66.3526791089,1.0000000000,0.7000000000,623.8150132281
"327",2336.0000000000,10499.6200873440,37.0785693031,0.0022344831,0.0337721011,0.0077995622,0.0000015848,0.0007962683,66.0175474272,1.0000000000,0.7000000000,636.2913134927
"328",2337.0000000000,10499.6308630134,37.1616062854,0.0022211164,0.0335287650,0.0076842978,0.0000015157,0.0007865382,65.6841084162,1.0000000000,0.7000000000,649.0171397625
"329",2338.0000000000,10499.6413330518,37.2443302772,0.0022078296,0.0332874229,0.0075707367,0.0000014495,0.0007769327,65.3523535268,1.0000000000,0.7000000000,661.9974825578
"330",2339.0000000000,10499.6515061275,37.3267413607,0.0021946223,0.0330480568,0.0074588539,0.0000013862,0.0007674499,65.0222742529,1.0000000000,0.7000000000,675.2374322089
"331",2340.0000000000,10499.6613906632,37.4088396328,0.0021814939,0.0328106487,0.0073486245,0.0000013257,0.0007580884,64.6938621312,1.0000000000,0.7000000000,688.7421808531
"332",2341.0000000000,10499.6709948424,37.4906252049,0.0021684442,0.0325751809,0.0072400242,0.0000012679,0.0007488465,64.3671087415,1.0000000000,0.7000000000,702.5170244702
"333",2342.0000000000,10499.6803266166,37.5720982023,0.0021554725,0.0323416359,0.0071330287,0.0000012125,0.0007397226,64.0420057058,1.0000000000,0.7000000000,716.5673649596
"334",2343.0000000000,10499.6893937120,37.6532587648,0.0021425783,0.0321099964,0.0070276145,0.0000011596,0.0007307151,63.7185446886,1.0000000000,0.7000000000,730.8987122588
"335",2344.0000000000,10499.6982036353,37.7341070456,0.0021297614,0.0318802450,0.0069237581,0.0000011090,0.0007218225,63.3967173965,1.0000000000,0.7000000000,745.5166865039
"336",2345.0000000000,10499.7067636807,37.8146432118,0.0021170211,0.0316523649,0.0068214366,0.0000010606,0.0007130432,63.0765155779,1.0000000000,0.7000000000,760.4270202340
"337",2346.0000000000,10499.7150809353,37.8948674443,0.0021043570,0.0314263390,0.0067206272,0.0000010143,0.0007043757,62.7579310229,1.0000000000,0.7000000000,775.6355606387
"338",2347.0000000000,10499.7231622853,37.9747799369,0.0020917686,0.0312021509,0.0066213076,0.0000009700,0.0006958186,62.4409555632,1.0000000000,0.7000000000,791.1482718515
